CoralNet Functional Group,Morpho-Functional - Level 1,Morpho-Functional - Level 2,Genus/family level,Species level,"On CoralNet (Label present, Code adjusted, Existing label, manually Verified)",Label ID,Added to CoralNet,IORL Short code,Short Code,CoralNet Name,CoralNet Existing Name,CoralNet Description,CoralNet Existing Link
Other Invertebrates,Ligh-bulb ascidians,,Clavelina sp,,LCE,2126,,,LBA_Cla,Clavelina sp.,Clavelina sp,Light-bulb ascidians,https://coralnet.ucsd.edu/label/2126/
Other Invertebrates,Solitary ascidians,,,,LCE,8215,,,SA,Solitary ascidians,Solitary ascidians,Solitary ascidians,https://coralnet.ucsd.edu/label/8215/
Other Invertebrates,Encrusting tunicates,,,,LCE,7994,,,ET,Encrusting tunicates,Encrusting Tunicates,Encrusting tunicates,https://coralnet.ucsd.edu/label/7994/
Other Invertebrates,Encrusting tunicates,,Botrylloides sp,,LCE,488,,,ET_Bot,Botrylloides sp.,Botrylloides sp.,Encrusting tunicates,https://coralnet.ucsd.edu/label/488/
Other Invertebrates,Encrusting tunicates,,Didemnidae sp,,LC,11611,,,ET_Did,Didemnidae sp.,-,Encrusting tunicates,https://coralnet.ucsd.edu/label/11611/
Other Invertebrates,Encrusting tunicates,,,Polysyncraton lacazei,LCE,8174,,,ET_Pol_lac,Polysyncraton lacazei,Polysyncraton lacazei,Encrusting tunicates,https://coralnet.ucsd.edu/label/8174/
Other Invertebrates,Encrusting tunicates,,,Polyandrocarpa zorritensis,LCE,9792,,,ET_Pol_zor,Polyandrocarpa zorritensis,Polyandrocarpa zorritensis,Encrusting tunicates,https://coralnet.ucsd.edu/label/9792/
Other Invertebrates,Boring mollusc,,,,LC,11612,,,BM,Boring mollusc,-,Boring mollusc,https://coralnet.ucsd.edu/label/11612/
Other Invertebrates,Boring mollusc,,,Rocellaria dubia,LCE,7146,,,BM_Roc,Rocellaria dubia,Rocellaria dubia,Boring mollusc,https://coralnet.ucsd.edu/label/7146/
Other Invertebrates,Grazing mollusc,,,,LC,11618,,,GM,Grazing mollusc,-,Grazing mollusc,https://coralnet.ucsd.edu/label/11618/
Other Invertebrates,Grazing mollusc,,Cerithium sp,,LCE,3074,,,GM_Cer,Cerithium sp.,Cerithium sp.,Grazing mollusc,https://coralnet.ucsd.edu/label/3074/
Other Invertebrates,Grazing mollusc,,Cerithium sp,Cerithium scabridum,LC,11613,,,GM_Cer_sca,Cerithium scabridum,-,Grazing mollusc,https://coralnet.ucsd.edu/label/11613/
Other Invertebrates,Grazing mollusc,,Cerithium sp,Cerithium lividulum,LC,11614,,,GM_Cer_liv,Cerithium lividulum,-,Grazing mollusc,https://coralnet.ucsd.edu/label/11614/
Other Invertebrates,Grazing mollusc,,,Conomurex persicus,LCE,979,,,GM_Con,Conomurex persicus,conomurex persicus,Grazing mollusc,https://coralnet.ucsd.edu/label/979/
Other Invertebrates,Colonial tube-forming mollusc,,,,LC,11615,,,CTM,Colonial tube-forming mollusc,-,Colonial tube-forming mollusc,https://coralnet.ucsd.edu/label/11615/
Hard substrate,Colonial tube-forming mollusc,,,Dendropoma cristatum,LCE,2796,,,CTM_Den,Dendropoma cristatum,Dendropoma cristatum,Colonial tube-forming mollusc,https://coralnet.ucsd.edu/label/2796/
Other Invertebrates,Encrusting arthropoda,,,,LC,11616,,,EA,Encrusting arthropoda,-,Encrusting arthropoda,https://coralnet.ucsd.edu/label/11616/
Other Invertebrates,Encrusting arthropoda,,,Balanus perforatus,LC,11617,,,EA_Bal,Balanus perforatus,-,Encrusting arthropoda,https://coralnet.ucsd.edu/label/11617/
Other Invertebrates,Encrusting arthropoda,,,Chthamalus stellatus,LCE,2812,,,EA_Cht,Chthamalus stellatus,Chthamalus stellatus,Encrusting arthropoda,https://coralnet.ucsd.edu/label/2812/
Algae,,,,Acetabularia acetabulum,LCE,8116,,,Ace_ace,Acetabularia acetabulum,Acetabularia acetabulum,Algae,https://coralnet.ucsd.edu/label/8116/
Algae,,,,Anadyomene stellata,LCE,2143,,,Ana_ste,Anadyomene stellata,Anadyomene stellata,Algae,https://coralnet.ucsd.edu/label/2143/
Algae,,,,Caulacanthus ustulatus,LCE,9280,,,Cau_ust,Caulacanthus ustulatus,Caulacanthus ustulatus,Algae,https://coralnet.ucsd.edu/label/9280/
Algae,,,,Caulerpa cylindracea,LCE,9774,,,Cau_cyl,Caulerpa cylindracea,Caulerpa cylindracea,Algae,https://coralnet.ucsd.edu/label/9774/
Algae,,,,Caulerpa mexicana,LCE,6045,,,Cau_mex,Caulerpa mexicana,Caulerpa mexicana,Algae,https://coralnet.ucsd.edu/label/6045/
Algae,,,,Caulerpa prolifera,LCE,3566,,,Cau_pro,Caulerpa prolifera,Caulerpa prolifera,Algae,https://coralnet.ucsd.edu/label/3566/
Algae,,,,Caulerpa scalpelliformis,LC,11631,,,Cau_sca,Caulerpa scalpelliformis,-,Algae,https://coralnet.ucsd.edu/label/11631/
Algae,,,,Caulerpa taxifolia,LC,11632,,,Cau_tax,Caulerpa taxifolia,-,Algae,https://coralnet.ucsd.edu/label/11632/
Algae,,,Codium sp,,LCE,8748,,,Cod,Codium sp.,Codium sp.,Algae,https://coralnet.ucsd.edu/label/8748/
Algae,,,Codium sp,Codium arabicum,LC,11633,,,Cod_ara,Codium arabicum,-,Algae,https://coralnet.ucsd.edu/label/11633/
Algae,,,,Codium bursa,LCE,8127,,,Cod_bur,Codium bursa,Codium bursa,Algae,https://coralnet.ucsd.edu/label/8127/
Algae,,,Codium sp,Codium effusum,LCE,8129,,,Cod_eff,Codium effusum,Codium effusum,Algae,https://coralnet.ucsd.edu/label/8129/
Algae,,,Codium sp,Codium parvulum,LCE,7221,,,Cod_par,Codium parvulum,Codium parvulum,Algae,https://coralnet.ucsd.edu/label/7221/
Algae,,,,Codium vermilara_or_fragile,LCE,3487,,,CodVerFra,Codium vermilara/fragile,Codium vermilara/fragile,Algae,https://coralnet.ucsd.edu/label/3487/
Algae,,,,Colpomenia sinuosa,LCE,512,,,Col_sin,Colpomenia sinuosa,Colpomenia sinuosa,Algae,https://coralnet.ucsd.edu/label/512/
